direction,time,canid,len,data
TX,10:10:15.096,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.100,0x101,32,5F 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 05 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.116,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.119,0x101,32,60 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 05 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.136,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.139,0x101,32,61 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A F9 7F FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.156,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.159,0x101,32,62 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A FF 7F FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.176,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.179,0x101,32,63 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 43 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.196,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.200,0x101,32,64 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 16 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.216,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.220,0x101,32,65 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 10 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.236,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
